player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key,college_clean
Rodney Hood,Utah Jazz,Duke,2014,1,23,23,Rodney Hood,Rodney Hood_2014,Duke
Shabazz Napier,Charlotte Hornets,Connecticut,2014,1,24,24,Shabazz Napier,Shabazz Napier_2014,Connecticut
Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25,25,Clint Capela,Clint Capela_2014,Elan Chalon (France)
PJ Hairston,Miami Heat,Texas Legends (D-League),2014,1,26,26,Pj Hairston,Pj Hairston_2014,Texas Legends (D-League)
Bogdan Bogdanovic,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27,Bogdan Bogdanovic,Bogdan Bogdanovic_2014,KK Partizan (Serbia)
C.J. Wilcox,Los Angeles Clippers,Washington,2014,1,28,28,Cj Wilcox,Cj Wilcox_2014,Washington
Josh Huestis,Oklahoma City Thunder,Stanford,2014,1,29,29,Josh Huestis,Josh Huestis_2014,Stanford
Kyle Anderson,San Antonio Spurs,California-Los Angeles,2014,1,30,30,Kyle Anderson,Kyle Anderson_2014,California-Los Angeles
Damien Inglis,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1,31,Damien Inglis,Damien Inglis_2014,Chorale Roanne Basket (France)
KJ McDaniels,Philadelphia 76ers,Clemson,2014,2,2,32,Kj McDaniels,Kj McDaniels_2014,Clemson
Joe Harris,Cleveland Cavaliers,Virginia,2014,2,3,33,Joe Harris,Joe Harris_2014,Virginia
Cleanthony Early,New York Knicks,Wichita State,2014,2,4,34,Cleanthony Early,Cleanthony Early_2014,Wichita St.
Jarnell Stokes,Utah Jazz,Tennessee,2014,2,5,35,Jarnell Stokes,Jarnell Stokes_2014,Tennessee
Johnny O'Bryant III,Milwaukee Bucks,Louisiana State,2014,2,6,36,Johnny O'Bryant Iii,Johnny O'Bryant Iii_2014,Louisiana Tech
DeAndre Daniels,Toronto Raptors,Connecticut,2014,2,7,37,Deandre Daniels,Deandre Daniels_2014,Connecticut
Spencer Dinwiddie,Detroit Pistons,Colorado,2014,2,8,38,Spencer Dinwiddie,Spencer Dinwiddie_2014,Colorado
Jerami Grant,Philadelphia 76ers,Syracuse,2014,2,9,39,Jerami Grant,Jerami Grant_2014,Syracuse
Glenn Robinson III,Minnesota Timberwolves,Michigan,2014,2,10,40,Glenn Robinson Iii,Glenn Robinson Iii_2014,Michigan
Nikola Jokic,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41,Nikola Jokic,Nikola Jokic_2014,KK Mega Leks (Serbia)
Nick Johnson,Houston Rockets,Arizona,2014,2,12,42,Nick Johnson,Nick Johnson_2014,Arizona
Edy Tavares,Atlanta Hawks,CB Gran Canaria (Spain),2014,2,13,43,Edy Tavares,Edy Tavares_2014,CB Gran Canaria (Spain)
Markel Brown,Minnesota Timberwolves,Oklahoma State,2014,2,14,44,Markel Brown,Markel Brown_2014,Oklahoma St.
Dwight Powell,Charlotte Hornets,Stanford,2014,2,15,45,Dwight Powell,Dwight Powell_2014,Stanford
Jordan Clarkson,Washington Wizards,Missouri,2014,2,16,46,Jordan Clarkson,Jordan Clarkson_2014,Missouri
Russ Smith,Philadelphia 76ers,Louisville,2014,2,17,47,Russ Smith,Russ Smith_2014,Louisville
Lamar Patterson,Milwaukee Bucks,Pittsburgh,2014,2,18,48,Lamar Patterson,Lamar Patterson_2014,Pittsburgh
Cameron Bairstow,Chicago Bulls,New Mexico,2014,2,19,49,Cameron Bairstow,Cameron Bairstow_2014,New Mexico
Alec Brown,Phoenix Suns,Wisconsin-Green Bay,2014,2,20,50,Alec Brown,Alec Brown_2014,Wisconsin-Green Bay
Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2014,2,21,51,Thanasis Antetokounmpo,Thanasis Antetokounmpo_2014,Delaware 87ers (D-League)
Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,22,52,Vasilije Micic,Vasilije Micic_2014,KK Mega Leks (Serbia)
Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2014,2,23,53,Alessandro Gentile,Alessandro Gentile_2014,Olimpia Milano (Italy)
Nemanja Dangubic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,24,54,Nemanja Dangubic,Nemanja Dangubic_2014,KK Mega Leks (Serbia)
Semaj Christon,Miami Heat,Xavier,2014,2,25,55,Semaj Christon,Semaj Christon_2014,Xavier
Devyn Marble,Denver Nuggets,Iowa,2014,2,26,56,Devyn Marble,Devyn Marble_2014,Iowa
Louis Labeyrie,Indiana Pacers,Paris-Levallois Basket (France),2014,2,27,57,Louis Labeyrie,Louis Labeyrie_2014,Paris-Levallois Basket (France)
Jordan McRae,San Antonio Spurs,Tennessee,2014,2,28,58,Jordan McRae,Jordan McRae_2014,Tennessee
Xavier Thames,Toronto Raptors,San Diego State,2014,2,29,59,Xavier Thames,Xavier Thames_2014,San Diego St.
Cory Jefferson,San Antonio Spurs,Baylor,2014,2,30,60,Cory Jefferson,Cory Jefferson_2014,Baylor
Anthony Bennett,Cleveland Cavaliers,Nevada-Las Vegas,2013,1,1,1,Anthony Bennett,Anthony Bennett_2013,Nevada-Las Vegas
Victor Oladipo,Orlando Magic,Indiana,2013,1,2,2,Victor Oladipo,Victor Oladipo_2013,Indiana
Otto Porter Jr.,Washington Wizards,Georgetown,2013,1,3,3,Otto Porter Jr,Otto Porter Jr_2013,Georgetown
Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4,4,Cody Zeller,Cody Zeller_2013,Indiana
Alex Len,Phoenix Suns,Maryland,2013,1,5,5,Alex Len,Alex Len_2013,Maryland
Nerlens Noel,New Orleans Pelicans,Kentucky,2013,1,6,6,Nerlens Noel,Nerlens Noel_2013,Kentucky
Ben McLemore,Sacramento Kings,Kansas,2013,1,7,7,Ben McLemore,Ben McLemore_2013,Kansas
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8,8,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope_2013,Georgia
Trey Burke,Minnesota Timberwolves,Michigan,2013,1,9,9,Trey Burke,Trey Burke_2013,Michigan
CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10,10,Cj McCollum,Cj McCollum_2013,Lehigh
Michael Carter-Williams,Philadelphia 76ers,Syracuse,2013,1,11,11,Michael Carter-Williams,Michael Carter-Williams_2013,Syracuse
Steven Adams,Oklahoma City Thunder,Pittsburgh,2013,1,12,12,Steven Adams,Steven Adams_2013,Pittsburgh
Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13,13,Kelly Olynyk,Kelly Olynyk_2013,Gonzaga
Shabazz Muhammad,Utah Jazz,California-Los Angeles,2013,1,14,14,Shabazz Muhammad,Shabazz Muhammad_2013,California-Los Angeles
Giannis Antetokounmpo,Milwaukee Bucks,Basket Zaragoza 2002 (Spain),2013,1,15,15,Giannis Antetokounmpo,Giannis Antetokounmpo_2013,Basket Zaragoza 2002 (Spain)
Lucas Nogueira,Boston Celtics,CB Estudiantes (Spain),2013,1,16,16,Lucas Nogueira,Lucas Nogueira_2013,CB Estudiantes (Spain)
Dennis Schroder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17,17,Dennis Schroder,Dennis Schroder_2013,Basketball Lowen Braunschweig (Germany)
Shane Larkin,Atlanta Hawks,Miami (FL),2013,1,18,18,Shane Larkin,Shane Larkin_2013,Miami FL
Sergey Karasev,Cleveland Cavaliers,B.C. Zenit Saint Petersburg (Russia),2013,1,19,19,Sergey Karasev,Sergey Karasev_2013,B.C. Zenit Saint Petersburg (Russia)
Tony Snell,Chicago Bulls,New Mexico,2013,1,20,20,Tony Snell,Tony Snell_2013,New Mexico
Gorgui Dieng,Utah Jazz,Louisville,2013,1,21,21,Gorgui Dieng,Gorgui Dieng_2013,Louisville
Mason Plumlee,Brooklyn Nets,Duke,2013,1,22,22,Mason Plumlee,Mason Plumlee_2013,Duke
Solomon Hill,Indiana Pacers,Arizona,2013,1,23,23,Solomon Hill,Solomon Hill_2013,Arizona
Tim Hardaway Jr.,New York Knicks,Michigan,2013,1,24,24,Tim Hardaway Jr,Tim Hardaway Jr_2013,Michigan
Reggie Bullock,Los Angeles Clippers,North Carolina,2013,1,25,25,Reggie Bullock,Reggie Bullock_2013,North Carolina
Andre Roberson,Minnesota Timberwolves,Colorado,2013,1,26,26,Andre Roberson,Andre Roberson_2013,Colorado
Rudy Gobert,Denver Nuggets,Cholet Basket (France),2013,1,27,27,Rudy Gobert,Rudy Gobert_2013,Cholet Basket (France)
Livio Jean-Charles,San Antonio Spurs,ASVEL Basket (France),2013,1,28,28,Livio Jean-Charles,Livio Jean-Charles_2013,ASVEL Basket (France)
Archie Goodwin,Oklahoma City Thunder,Kentucky,2013,1,29,29,Archie Goodwin,Archie Goodwin_2013,Kentucky
Nemanja Nedovic,Phoenix Suns,BC Lietuvos rytas (Lithuania),2013,1,30,30,Nemanja Nedovic,Nemanja Nedovic_2013,BC Lietuvos rytas (Lithuania)
Allen Crabbe,Cleveland Cavaliers,California,2013,2,1,31,Allen Crabbe,Allen Crabbe_2013,California
Alex Abrines,Oklahoma City Thunder,FC Barcelona Basquet (Spain),2013,2,2,32,Alex Abrines,Alex Abrines_2013,FC Barcelona Basquet (Spain)
Carrick Felix,Cleveland Cavaliers,Arizona State,2013,2,3,33,Carrick Felix,Carrick Felix_2013,Arizona St.
Isaiah Canaan,Houston Rockets,Murray State,2013,2,4,34,Isaiah Canaan,Isaiah Canaan_2013,Murray St.
Glen Rice,Philadelphia 76ers,Michigan,2013,2,5,35,Glen Rice,Glen Rice_2013,Michigan
Ray McCallum,Sacramento Kings,Detroit Mercy,2013,2,6,36,Ray McCallum,Ray McCallum_2013,Detroit Mercy
Tony Mitchell,Detroit Pistons,North Texas,2013,2,7,37,Tony Mitchell,Tony Mitchell_2013,North Texas
Nate Wolters,Washington Wizards,South Dakota State,2013,2,8,38,Nate Wolters,Nate Wolters_2013,South Dakota St.
Jeff Withey,Portland Trail Blazers,Kansas,2013,2,9,39,Jeff Withey,Jeff Withey_2013,Kansas
Grant Jerrett,Portland Trail Blazers,Arizona,2013,2,10,40,Grant Jerrett,Grant Jerrett_2013,Arizona
Jamaal Franklin,Memphis Grizzlies,San Diego State,2013,2,11,41,Jamaal Franklin,Jamaal Franklin_2013,San Diego St.
Pierre Jackson,Philadelphia 76ers,Baylor,2013,2,12,42,Pierre Jackson,Pierre Jackson_2013,Baylor
Ricky Ledo,Milwaukee Bucks,Providence,2013,2,13,43,Ricky Ledo,Ricky Ledo_2013,Providence
Mike Muscala,Dallas Mavericks,Bucknell,2013,2,14,44,Mike Muscala,Mike Muscala_2013,Bucknell
Marko Todorovic,Portland Trail Blazers,FC Barcelona Basquet (Spain),2013,2,15,45,Marko Todorovic,Marko Todorovic_2013,FC Barcelona Basquet (Spain)
Erick Green,Utah Jazz,Virginia Tech,2013,2,16,46,Erick Green,Erick Green_2013,Virginia Tech
Raul Neto,Atlanta Hawks,San Sebastian Gipuzkoa BC (Spain),2013,2,17,47,Raul Neto,Raul Neto_2013,San Sebastian Gipuzkoa BC (Spain)
Ryan Kelly,Los Angeles Lakers,Duke,2013,2,18,48,Ryan Kelly,Ryan Kelly_2013,Duke
Erik Murphy,Chicago Bulls,Florida,2013,2,19,49,Erik Murphy,Erik Murphy_2013,Florida
James Ennis III,Atlanta Hawks,Long Beach State,2013,2,20,50,James Ennis Iii,James Ennis Iii_2013,Long Beach St.
Romero Osby,Orlando Magic,Oklahoma,2013,2,21,51,Romero Osby,Romero Osby_2013,Oklahoma
Lorenzo Brown,Minnesota Timberwolves,North Carolina State,2013,2,22,52,Lorenzo Brown,Lorenzo Brown_2013,North Carolina St.
Colton Iverson,Indiana Pacers,Colorado State,2013,2,23,53,Colton Iverson,Colton Iverson_2013,Colorado St.
Arsalan Kazemi,Washington Wizards,Oregon,2013,2,24,54,Arsalan Kazemi,Arsalan Kazemi_2013,Oregon
Joffrey Lauvergne,Memphis Grizzlies,KK Partizan (Serbia),2013,2,25,55,Joffrey Lauvergne,Joffrey Lauvergne_2013,KK Partizan (Serbia)
Peyton Siva,Detroit Pistons,Louisville,2013,2,26,56,Peyton Siva,Peyton Siva_2013,Louisville
Alex Oriakhi,Phoenix Suns,Missouri,2013,2,27,57,Alex Oriakhi,Alex Oriakhi_2013,Missouri
Deshaun Thomas,San Antonio Spurs,Ohio State,2013,2,28,58,Deshaun Thomas,Deshaun Thomas_2013,Ohio St.
Bojan Dubljevic,Minnesota Timberwolves,Valencia BC (Spain),2013,2,29,59,Bojan Dubljevic,Bojan Dubljevic_2013,Valencia BC (Spain)
Janis Timma,Memphis Grizzlies,BK Ventspils (Latvia),2013,2,30,60,Janis Timma,Janis Timma_2013,BK Ventspils (Latvia)
Anthony Davis,New Orleans Hornets,Kentucky,2012,1,1,1,Anthony Davis,Anthony Davis_2012,Kentucky
Michael Kidd-Gilchrist,Charlotte Bobcats,Kentucky,2012,1,2,2,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist_2012,Kentucky
Bradley Beal,Washington Wizards,Florida,2012,1,3,3,Bradley Beal,Bradley Beal_2012,Florida
Dion Waiters,Cleveland Cavaliers,Syracuse,2012,1,4,4,Dion Waiters,Dion Waiters_2012,Syracuse
Thomas Robinson,Sacramento Kings,Kansas,2012,1,5,5,Thomas Robinson,Thomas Robinson_2012,Kansas
Damian Lillard,Portland Trail Blazers,Weber State,2012,1,6,6,Damian Lillard,Damian Lillard_2012,Weber St.
Harrison Barnes,Golden State Warriors,North Carolina,2012,1,7,7,Harrison Barnes,Harrison Barnes_2012,North Carolina
Terrence Ross,Toronto Raptors,Washington,2012,1,8,8,Terrence Ross,Terrence Ross_2012,Washington
Andre Drummond,Detroit Pistons,Connecticut,2012,1,9,9,Andre Drummond,Andre Drummond_2012,Connecticut
Austin Rivers,New Orleans Hornets,Duke,2012,1,10,10,Austin Rivers,Austin Rivers_2012,Duke
Meyers Leonard,Portland Trail Blazers,Illinois,2012,1,11,11,Meyers Leonard,Meyers Leonard_2012,Illinois
Jeremy Lamb,Houston Rockets,Connecticut,2012,1,12,12,Jeremy Lamb,Jeremy Lamb_2012,Connecticut
Kendall Marshall,Phoenix Suns,North Carolina,2012,1,13,13,Kendall Marshall,Kendall Marshall_2012,North Carolina
John Henson,Milwaukee Bucks,North Carolina,2012,1,14,14,John Henson,John Henson_2012,North Carolina
Maurice Harkless,Philadelphia 76ers,St. John's (NY),2012,1,15,15,Maurice Harkless,Maurice Harkless_2012,St. John's
Royce White,Houston Rockets,Iowa State,2012,1,16,16,Royce White,Royce White_2012,Iowa St.
Tyler Zeller,Dallas Mavericks,North Carolina,2012,1,17,17,Tyler Zeller,Tyler Zeller_2012,North Carolina
Terrence Jones,Houston Rockets,Kentucky,2012,1,18,18,Terrence Jones,Terrence Jones_2012,Kentucky
Andrew Nicholson,Orlando Magic,St. Bonaventure,2012,1,19,19,Andrew Nicholson,Andrew Nicholson_2012,St. Bonaventure
Evan Fournier,Denver Nuggets,Poitiers Basket 86 (France),2012,1,20,20,Evan Fournier,Evan Fournier_2012,Poitiers Basket 86 (France)
Jared Sullinger,Boston Celtics,Ohio State,2012,1,21,21,Jared Sullinger,Jared Sullinger_2012,Ohio St.
Fab Melo,Boston Celtics,Syracuse,2012,1,22,22,Fab Melo,Fab Melo_2012,Syracuse
John Jenkins,Atlanta Hawks,Vanderbilt,2012,1,23,23,John Jenkins,John Jenkins_2012,Vanderbilt
Jared Cunningham,Cleveland Cavaliers,Oregon State,2012,1,24,24,Jared Cunningham,Jared Cunningham_2012,Oregon St.
Tony Wroten,Memphis Grizzlies,Washington,2012,1,25,25,Tony Wroten,Tony Wroten_2012,Washington
Miles Plumlee,Indiana Pacers,Duke,2012,1,26,26,Miles Plumlee,Miles Plumlee_2012,Duke
Arnett Moultrie,Miami Heat,Mississippi State,2012,1,27,27,Arnett Moultrie,Arnett Moultrie_2012,Mississippi St.
Perry Jones III,Oklahoma City Thunder,Baylor,2012,1,28,28,Perry Jones Iii,Perry Jones Iii_2012,Baylor
Marquis Teague,Chicago Bulls,Kentucky,2012,1,29,29,Marquis Teague,Marquis Teague_2012,Kentucky
Festus Ezeli,Golden State Warriors,Vanderbilt,2012,1,30,30,Festus Ezeli,Festus Ezeli_2012,Vanderbilt
Jeffery Taylor,Charlotte Bobcats,Vanderbilt,2012,2,1,31,Jeffery Taylor,Jeffery Taylor_2012,Vanderbilt
Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2012,2,2,32,Tomas Satoransky,Tomas Satoransky_2012,CB Sevilla (Spain)
Bernard James,Cleveland Cavaliers,Florida State,2012,2,3,33,Bernard James,Bernard James_2012,Florida St.
Jae Crowder,Cleveland Cavaliers,Marquette,2012,2,4,34,Jae Crowder,Jae Crowder_2012,Marquette
Draymond Green,Golden State Warriors,Michigan State,2012,2,5,35,Draymond Green,Draymond Green_2012,Michigan St.
Orlando Johnson,Sacramento Kings,California-Santa Barbara,2012,2,6,36,Orlando Johnson,Orlando Johnson_2012,UC Santa Barbara
Quincy Acy,Toronto Raptors,Baylor,2012,2,7,37,Quincy Acy,Quincy Acy_2012,Baylor
Quincy Miller,Denver Nuggets,Baylor,2012,2,8,38,Quincy Miller,Quincy Miller_2012,Baylor
Khris Middleton,Detroit Pistons,Texas A&M,2012,2,9,39,Khris Middleton,Khris Middleton_2012,Texas A&M
Will Barton,Portland Trail Blazers,Memphis,2012,2,10,40,Will Barton,Will Barton_2012,Memphis
Tyshawn Taylor,Portland Trail Blazers,Kansas,2012,2,11,41,Tyshawn Taylor,Tyshawn Taylor_2012,Kansas
Doron Lamb,Milwaukee Bucks,Kentucky,2012,2,12,42,Doron Lamb,Doron Lamb_2012,Kentucky
Mike Scott,Atlanta Hawks,Virginia,2012,2,13,43,Mike Scott,Mike Scott_2012,Virginia
Kim English,Detroit Pistons,Missouri,2012,2,14,44,Kim English,Kim English_2012,Missouri
Justin Hamilton,Philadelphia 76ers,Louisiana State,2012,2,15,45,Justin Hamilton,Justin Hamilton_2012,Louisiana Tech
Darius Miller,New Orleans Hornets,Kentucky,2012,2,16,46,Darius Miller,Darius Miller_2012,Kentucky
Kevin Murphy,Utah Jazz,Tennessee Tech,2012,2,17,47,Kevin Murphy,Kevin Murphy_2012,Tennessee Tech
Kostas Papanikolaou,New York Knicks,Olympiacos B.C. (Greece),2012,2,18,48,Kostas Papanikolaou,Kostas Papanikolaou_2012,Olympiacos B.C. (Greece)
Kyle O'Quinn,Orlando Magic,Norfolk State,2012,2,19,49,Kyle O'Quinn,Kyle O'Quinn_2012,Norfolk St.
Izzet Turkyilmaz,Denver Nuggets,Banvit B.K. (Turkey),2012,2,20,50,Izzet Turkyilmaz,Izzet Turkyilmaz_2012,Banvit B.K. (Turkey)
Kris Joseph,Boston Celtics,Syracuse,2012,2,21,51,Kris Joseph,Kris Joseph_2012,Syracuse
Ognjen Kuzmic,Golden State Warriors,CB Axarquia (Spain),2012,2,22,52,Ognjen Kuzmic,Ognjen Kuzmic_2012,CB Axarquia (Spain)
Furkan Aldemir,Los Angeles Clippers,Galatasaray S.K. (Turkey),2012,2,23,53,Furkan Aldemir,Furkan Aldemir_2012,Galatasaray S.K. (Turkey)
Tornike Shengelia,Philadelphia 76ers,Georgia,2012,2,24,54,Tornike Shengelia,Tornike Shengelia_2012,Georgia
Darius Johnson-Odom,Dallas Mavericks,Marquette,2012,2,25,55,Darius Johnson-Odom,Darius Johnson-Odom_2012,Marquette
Tomislav Zubcic,Toronto Raptors,KK Cibona (Croatia),2012,2,26,56,Tomislav Zubcic,Tomislav Zubcic_2012,KK Cibona (Croatia)
Ilkan Karaman,Brooklyn Nets,Pinar Karsiyaka (Turkey),2012,2,27,57,Ilkan Karaman,Ilkan Karaman_2012,Pinar Karsiyaka (Turkey)
Robbie Hummel,Minnesota Timberwolves,Purdue,2012,2,28,58,Robbie Hummel,Robbie Hummel_2012,Purdue
Marcus Denmon,San Antonio Spurs,Missouri,2012,2,29,59,Marcus Denmon,Marcus Denmon_2012,Missouri
Robert Sacre,Los Angeles Lakers,Gonzaga,2012,2,30,60,Robert Sacre,Robert Sacre_2012,Gonzaga
Kyrie Irving,Cleveland Cavaliers,Duke,2011,1,1,1,Kyrie Irving,Kyrie Irving_2011,Duke
Derrick Williams,Minnesota Timberwolves,Arizona,2011,1,2,2,Derrick Williams,Derrick Williams_2011,Arizona
Enes Kanter,Utah Jazz,Kentucky,2011,1,3,3,Enes Kanter,Enes Kanter_2011,Kentucky
Tristan Thompson,Cleveland Cavaliers,Texas,2011,1,4,4,Tristan Thompson,Tristan Thompson_2011,Texas
Jonas Valanciunas,Toronto Raptors,BC Lietuvos rytas (Lithuania),2011,1,5,5,Jonas Valanciunas,Jonas Valanciunas_2011,BC Lietuvos rytas (Lithuania)
Jan Vesely,Washington Wizards,KK Partizan (Serbia),2011,1,6,6,Jan Vesely,Jan Vesely_2011,KK Partizan (Serbia)
Bismack Biyombo,Sacramento Kings,Baloncesto Fuenlabrada (Spain),2011,1,7,7,Bismack Biyombo,Bismack Biyombo_2011,Baloncesto Fuenlabrada (Spain)
Brandon Knight,Detroit Pistons,Kentucky,2011,1,8,8,Brandon Knight,Brandon Knight_2011,Kentucky
Kemba Walker,Charlotte Bobcats,Connecticut,2011,1,9,9,Kemba Walker,Kemba Walker_2011,Connecticut
Jimmer Fredette,Milwaukee Bucks,Brigham Young,2011,1,10,10,Jimmer Fredette,Jimmer Fredette_2011,Brigham Young
Klay Thompson,Golden State Warriors,Washington State,2011,1,11,11,Klay Thompson,Klay Thompson_2011,Washington St.
Alec Burks,Utah Jazz,Colorado,2011,1,12,12,Alec Burks,Alec Burks_2011,Colorado
Markieff Morris,Phoenix Suns,Kansas,2011,1,13,13,Markieff Morris,Markieff Morris_2011,Kansas
Marcus Morris Sr.,Houston Rockets,Kansas,2011,1,14,14,Marcus Morris Sr,Marcus Morris Sr_2011,Kansas
Kawhi Leonard,Indiana Pacers,San Diego State,2011,1,15,15,Kawhi Leonard,Kawhi Leonard_2011,San Diego St.
Nikola Vucevic,Philadelphia 76ers,Southern California,2011,1,16,16,Nikola Vucevic,Nikola Vucevic_2011,Southern California
Iman Shumpert,New York Knicks,Georgia Tech,2011,1,17,17,Iman Shumpert,Iman Shumpert_2011,Georgia Tech
Chris Singleton,Washington Wizards,Florida State,2011,1,18,18,Chris Singleton,Chris Singleton_2011,Florida St.
Tobias Harris,Charlotte Bobcats,Tennessee,2011,1,19,19,Tobias Harris,Tobias Harris_2011,Tennessee
Donatas Motiejunas,Minnesota Timberwolves,Universo Treviso Basket (Italy),2011,1,20,20,Donatas Motiejunas,Donatas Motiejunas_2011,Universo Treviso Basket (Italy)
Nolan Smith,Portland Trail Blazers,Duke,2011,1,21,21,Nolan Smith,Nolan Smith_2011,Duke
Kenneth Faried,Denver Nuggets,Morehead State,2011,1,22,22,Kenneth Faried,Kenneth Faried_2011,Morehead St.
Nikola Mirotic,Houston Rockets,Real Madrid Baloncesto (Spain),2011,1,23,23,Nikola Mirotic,Nikola Mirotic_2011,Real Madrid Baloncesto (Spain)
Reggie Jackson,Oklahoma City Thunder,Boston College,2011,1,24,24,Reggie Jackson,Reggie Jackson_2011,Boston College
MarShon Brooks,Boston Celtics,Providence,2011,1,25,25,Marshon Brooks,Marshon Brooks_2011,Providence
Jordan Hamilton,Dallas Mavericks,Texas,2011,1,26,26,Jordan Hamilton,Jordan Hamilton_2011,Texas
JaJuan Johnson,New Jersey Nets,Purdue,2011,1,27,27,Jajuan Johnson,Jajuan Johnson_2011,Purdue
Norris Cole,Chicago Bulls,Cleveland State,2011,1,28,28,Norris Cole,Norris Cole_2011,Cleveland St.
Cory Joseph,San Antonio Spurs,Texas,2011,1,29,29,Cory Joseph,Cory Joseph_2011,Texas
Jimmy Butler,Chicago Bulls,Marquette,2011,1,30,30,Jimmy Butler,Jimmy Butler_2011,Marquette
Bojan Bogdanovic,Miami Heat,KK Partizan (Serbia),2011,2,1,31,Bojan Bogdanovic,Bojan Bogdanovic_2011,KK Partizan (Serbia)
Justin Harper,Cleveland Cavaliers,Richmond,2011,2,2,32,Justin Harper,Justin Harper_2011,Richmond
Kyle Singler,Detroit Pistons,Duke,2011,2,3,33,Kyle Singler,Kyle Singler_2011,Duke
Shelvin Mack,Washington Wizards,Butler,2011,2,4,34,Shelvin Mack,Shelvin Mack_2011,Butler
Tyler Honeycutt,Sacramento Kings,California-Los Angeles,2011,2,5,35,Tyler Honeycutt,Tyler Honeycutt_2011,California-Los Angeles
Jordan Williams,New Jersey Nets,Maryland,2011,2,6,36,Jordan Williams,Jordan Williams_2011,Maryland
Trey Thompkins,Los Angeles Clippers,Georgia,2011,2,7,37,Trey Thompkins,Trey Thompkins_2011,Georgia
Chandler Parsons,Houston Rockets,Florida,2011,2,8,38,Chandler Parsons,Chandler Parsons_2011,Florida
Jeremy Tyler,Charlotte Bobcats,Tokyo Apache (Japan),2011,2,9,39,Jeremy Tyler,Jeremy Tyler_2011,Tokyo Apache (Japan)
Jon Leuer,Milwaukee Bucks,Wisconsin,2011,2,10,40,Jon Leuer,Jon Leuer_2011,Wisconsin
Darius Morris,Los Angeles Lakers,Michigan,2011,2,11,41,Darius Morris,Darius Morris_2011,Michigan
Davis Bertans,Indiana Pacers,KK Olimpija (Slovenia),2011,2,12,42,Davis Bertans,Davis Bertans_2011,KK Olimpija (Slovenia)
Malcolm Lee,Chicago Bulls,California-Los Angeles,2011,2,13,43,Malcolm Lee,Malcolm Lee_2011,California-Los Angeles
Charles Jenkins,Golden State Warriors,Hofstra,2011,2,14,44,Charles Jenkins,Charles Jenkins_2011,Hofstra
Josh Harrellson,New Orleans Hornets,Kentucky,2011,2,15,45,Josh Harrellson,Josh Harrellson_2011,Kentucky
Andrew Goudelock,Los Angeles Lakers,College of Charleston,2011,2,16,46,Andrew Goudelock,Andrew Goudelock_2011,College of Charleston
Travis Leslie,Los Angeles Clippers,Georgia,2011,2,17,47,Travis Leslie,Travis Leslie_2011,Georgia
Keith Benson,Atlanta Hawks,Oakland,2011,2,18,48,Keith Benson,Keith Benson_2011,Oakland
Josh Selby,Memphis Grizzlies,Kansas,2011,2,19,49,Josh Selby,Josh Selby_2011,Kansas
Lavoy Allen,Philadelphia 76ers,Temple,2011,2,20,50,Lavoy Allen,Lavoy Allen_2011,Temple
Jon Diebler,Portland Trail Blazers,Ohio State,2011,2,21,51,Jon Diebler,Jon Diebler_2011,Ohio St.
Vernon Macklin,Detroit Pistons,Florida,2011,2,22,52,Vernon Macklin,Vernon Macklin_2011,Florida
DeAndre Liggins,Orlando Magic,Kentucky,2011,2,23,53,Deandre Liggins,Deandre Liggins_2011,Kentucky
MIlan Macvan,Cleveland Cavaliers,Maccabi Tel Aviv B.C. (Israel),2011,2,24,54,Milan Macvan,Milan Macvan_2011,Maccabi Tel Aviv B.C. (Israel)
E'Twaun Moore,Boston Celtics,Purdue,2011,2,25,55,E'Twaun Moore,E'Twaun Moore_2011,Purdue
Chukwudiebere Maduabum,Los Angeles Lakers,Bakersfield Jam (D-League),2011,2,26,56,Chukwudiebere Maduabum,Chukwudiebere Maduabum_2011,Bakersfield Jam (D-League)
Tanguy Ngombo,Dallas Mavericks,Al Rayyan Basketball Team (Qatar),2011,2,27,57,Tanguy Ngombo,Tanguy Ngombo_2011,Al Rayyan Basketball Team (Qatar)
Ater Majok,Los Angeles Lakers,Gold Coast Blaze (Australia),2011,2,28,58,Ater Majok,Ater Majok_2011,Gold Coast Blaze (Australia)
Adam Hanga,San Antonio Spurs,Alba Fehervar (Hungary),2011,2,29,59,Adam Hanga,Adam Hanga_2011,Alba Fehervar (Hungary)
